type,client,tx,amount
withdrawal,7,210,206.6056
deposit,17,211,372.0552
dispute,20,39
dispute,8,147
dispute,5,41
withdrawal,11,215,234.3845
deposit,3,216,259.0343
withdrawal,14,217,47.1298
deposit,1,218,522.9236
resolve,3,152
deposit,10,220,77.5741
resolve,9,57
dispute,6,157
deposit,7,223,373.6866
deposit,11,224,579.7695
deposit,7,225,248.6654
deposit,17,226,271.3739
withdrawal,9,227,219.1932
deposit,12,228,215.3833
withdrawal,2,229,279.8251
resolve,18,25
resolve,7,71
deposit,16,232,366.2044
deposit,18,233,439.8083
deposit,18,234,22.1210
dispute,20,181
deposit,5,236,267.3074
dispute,3,152
deposit,18,238,502.0642
dispute,6,51
dispute,4,154
withdrawal,2,241,172.3361
deposit,6,242,113.5671
withdrawal,3,243,159.4479
dispute,18,122
dispute,12,228
deposit,9,246,551.9065
deposit,12,247,47.2377
deposit,4,248,226.9589
dispute,11,48
deposit,19,250,366.6054
deposit,10,251,250.6170
deposit,5,252,403.5246
deposit,5,253,582.3442
dispute,1,134
deposit,5,255,252.6689
deposit,18,256,166.4190
resolve,14,40
chargeback,3,152
withdrawal,1,259,95.2465
deposit,3,260,25.4896
deposit,10,261,469.9009
deposit,2,262,277.7035
deposit,3,263,46.2427
deposit,18,264,579.4286
resolve,12,228
deposit,18,266,48.1317
deposit,7,267,276.1120
resolve,17,17
resolve,16,16
deposit,7,270,368.2120
resolve,5,41
deposit,6,272,582.4824
withdrawal,18,273,118.9628
deposit,20,274,464.4126
deposit,2,275,43.3569
deposit,2,276,346.0513
resolve,12,65
deposit,5,278,348.5898
deposit,5,279,474.6109
withdrawal,19,280,202.0362
withdrawal,7,281,382.6696
deposit,9,282,312.3410
deposit,16,283,239.6038
resolve,14,14
deposit,20,285,292.8602
deposit,18,286,464.5022
resolve,1,134
deposit,8,288,543.5178
deposit,1,289,321.8548
deposit,8,290,160.9256
withdrawal,13,291,163.4336
withdrawal,9,292,314.1259
deposit,1,293,332.6972
deposit,15,294,444.1475
withdrawal,16,295,293.9494
withdrawal,6,296,228.8820
deposit,20,297,306.9911
resolve,18,122
deposit,15,299,305.0810
withdrawal,13,300,310.3936
withdrawal,18,301,134.7564
deposit,7,302,62.8012
resolve,8,147
deposit,6,304,430.2162
withdrawal,8,305,36.8848
deposit,2,306,60.8327
withdrawal,16,307,90.0329
withdrawal,9,308,138.9981
deposit,1,309,394.9222
dispute,14,137
deposit,11,311,444.6638
dispute,6,117
dispute,16,44
withdrawal,5,314,396.6177
deposit,15,315,278.2363
withdrawal,17,316,240.7968
dispute,10,261
withdrawal,20,318,312.7065
deposit,16,319,579.3305
deposit,15,320,81.5698
deposit,16,321,234.7879
deposit,11,322,440.1711
deposit,5,323,560.4095
withdrawal,18,324,380.8800
deposit,1,325,84.5361
deposit,7,326,573.2536
deposit,9,327,214.0936
deposit,2,328,462.5288
deposit,2,329,139.6335
deposit,20,330,135.8841
deposit,1,331,282.1552
withdrawal,16,332,332.3235
withdrawal,12,333,101.3358
withdrawal,1,334,46.3489
deposit,19,335,494.9929
withdrawal,7,336,366.0760
resolve,10,261
deposit,11,338,427.4636
withdrawal,16,339,263.3013
resolve,16,44
withdrawal,1,341,16.3293
dispute,18,25
deposit,11,343,588.7546
withdrawal,1,344,286.1350
resolve,12,12
withdrawal,6,346,146.7823
withdrawal,19,347,271.2737
resolve,11,48
deposit,13,349,365.7975
deposit,8,350,502.7553
deposit,18,351,61.7995
deposit,16,352,475.5147
deposit,7,353,212.9979
deposit,11,354,516.3445
deposit,2,355,336.4541
withdrawal,18,356,71.3139
withdrawal,1,357,129.1805
deposit,13,358,303.6017
deposit,6,359,527.9869
resolve,19,19
deposit,2,361,29.4354
withdrawal,12,362,62.2619
deposit,5,363,394.0468
deposit,19,364,155.8755
deposit,8,365,156.5455
deposit,14,366,496.6724
deposit,3,367,40.5537
deposit,6,368,385.8857
withdrawal,7,369,198.4018
deposit,12,370,597.8610
deposit,8,371,558.5302
withdrawal,17,372,115.9112
withdrawal,7,373,376.9612
dispute,10,10
withdrawal,7,375,388.7754
deposit,7,376,336.6861
deposit,2,377,28.4725
deposit,7,378,518.4460
deposit,14,379,51.7022
deposit,6,380,156.8036
deposit,4,381,50.6279
deposit,1,382,480.3422
withdrawal,12,383,73.7788
dispute,13,13
deposit,14,385,286.8070
withdrawal,17,386,131.6547
deposit,3,387,18.3692
resolve,10,197
deposit,20,389,386.2935
deposit,7,390,313.9834
deposit,11,391,371.2139
deposit,4,392,517.3798
resolve,14,137
deposit,4,394,106.4284
resolve,4,154
deposit,7,396,111.0390
deposit,14,397,356.9025
deposit,9,398,472.1611
dispute,7,396
dispute,1,218
withdrawal,20,401,249.6759
deposit,19,402,316.2222
dispute,5,278
withdrawal,18,404,373.8620
deposit,16,405,477.8144
deposit,20,406,528.5078
deposit,3,407,43.5483
deposit,3,408,9.3977
dispute,8,130
dispute,17,162
resolve,10,10
withdrawal,10,412,78.3859
dispute,12,12
deposit,3,414,30.4154
resolve,17,162
deposit,12,416,570.0548
withdrawal,16,417,229.6665
deposit,15,418,212.5892
deposit,8,419,404.1531
deposit,9,420,370.5890
deposit,19,421,441.6344
dispute,16,44
deposit,16,423,392.3350
deposit,15,424,136.8778
deposit,20,425,453.3611
withdrawal,17,426,115.7611
deposit,12,427,464.7067
resolve,13,13
dispute,20,285
deposit,18,430,92.0297
dispute,17,211
dispute,6,272
deposit,7,433,498.3012
deposit,17,434,294.2910
withdrawal,20,435,125.4735
withdrawal,17,436,311.8505
resolve,17,211
dispute,1,30
dispute,15,320
withdrawal,8,440,132.9140
resolve,1,30
resolve,6,117
dispute,10,197
dispute,8,350
deposit,2,445,138.8778
deposit,15,446,549.4425
deposit,2,447,131.7592
deposit,3,448,5.0963
dispute,6,304
deposit,20,450,133.4826
deposit,14,451,487.7104
deposit,3,452,44.6165
withdrawal,11,453,61.9763
deposit,17,454,50.7361
dispute,8,179
deposit,16,456,519.4622
dispute,11,322
dispute,19,250
withdrawal,6,459,58.6528
deposit,8,460,250.7469
deposit,16,461,530.5008
withdrawal,13,462,34.7841
deposit,17,463,136.1386
dispute,17,17
resolve,15,100
deposit,18,466,407.9449
deposit,3,467,22.6410
withdrawal,14,468,12.2971
deposit,8,469,156.4196
deposit,13,470,92.8795
withdrawal,8,471,156.2537
resolve,12,12
resolve,19,250
deposit,2,474,253.5621
resolve,13,87
withdrawal,1,476,216.9944
deposit,7,477,225.0010
withdrawal,8,478,121.8189
dispute,12,416
deposit,6,480,53.5197
dispute,19,19
resolve,17,17
deposit,17,483,283.2750
withdrawal,2,484,78.5220
resolve,10,197
deposit,11,486,123.9902
dispute,9,282
dispute,19,402
deposit,13,489,129.0028
deposit,3,490,25.4322
deposit,5,491,106.5187
withdrawal,16,492,51.3243
deposit,17,493,276.5825
resolve,20,39
dispute,2,163
deposit,13,496,490.7529
resolve,9,282
deposit,5,498,161.8789
withdrawal,12,499,324.2649
withdrawal,13,500,228.7332
deposit,10,501,314.5431
resolve,2,163
resolve,8,130
deposit,11,504,10.0207
withdrawal,5,505,207.5641
dispute,11,338
withdrawal,13,507,348.6713
deposit,3,508,17.9043
dispute,6,117
deposit,4,510,331.8821
deposit,13,511,202.9246
deposit,10,512,97.4471
deposit,3,513,12.9941
deposit,2,514,67.3040
deposit,3,515,31.1138
dispute,14,31
dispute,10,77
deposit,15,518,101.4561
chargeback,5,278
withdrawal,4,520,388.7476
withdrawal,9,521,33.2110
resolve,19,402
withdrawal,6,523,258.7391
dispute,18,234
resolve,16,44
deposit,20,526,105.3154
deposit,2,527,526.8836
dispute,12,228
deposit,17,529,534.1030
withdrawal,13,530,74.4668
dispute,16,319
resolve,10,77
deposit,4,533,571.1000
withdrawal,2,534,160.6269
deposit,8,535,189.5508
deposit,3,536,45.1633
deposit,19,537,51.6293
withdrawal,19,538,233.0509
deposit,7,539,144.2041
deposit,14,540,133.7305
deposit,19,541,438.3392
withdrawal,1,542,16.8999
withdrawal,14,543,107.2103
deposit,12,544,326.4786
deposit,14,545,447.7482
deposit,19,546,539.9324
deposit,8,547,208.5794
deposit,2,548,443.6647
deposit,3,549,30.8385
deposit,20,550,551.0868
deposit,13,551,141.9804
deposit,19,552,494.7595
withdrawal,8,553,179.4244
withdrawal,19,554,54.4586
deposit,13,555,274.4373
withdrawal,13,556,310.2814
withdrawal,9,557,198.8322
dispute,20,406
resolve,8,350
deposit,18,560,230.0973
resolve,19,19
withdrawal,9,562,211.1241
deposit,10,563,221.2843
deposit,9,564,179.7987
deposit,10,565,184.5014
resolve,14,31
deposit,15,567,246.5441
deposit,13,568,591.8533
withdrawal,20,569,96.4584
dispute,1,289
dispute,19,552
deposit,20,572,30.3455
withdrawal,2,573,199.3455
dispute,8,150
resolve,8,179
dispute,11,343
deposit,4,577,81.2216
deposit,6,578,337.0355
deposit,1,579,337.0585
deposit,17,580,430.4111
deposit,12,581,184.6309
withdrawal,1,582,138.8483
deposit,4,583,124.5623
resolve,12,416
deposit,13,585,201.2854
deposit,13,586,532.1523
deposit,3,587,29.0792
withdrawal,4,588,248.7494
dispute,16,38
deposit,12,590,118.9596
withdrawal,14,591,142.5835
deposit,13,592,293.5670
withdrawal,13,593,183.0850
deposit,14,594,356.4260
deposit,9,595,516.6750
resolve,19,552
deposit,16,597,109.8809
dispute,15,418
deposit,4,599,362.0056
deposit,10,600,10.0733
deposit,3,601,29.4038
withdrawal,2,602,153.8578
dispute,10,202
deposit,13,604,327.1952
deposit,5,605,22.5447
withdrawal,4,606,183.6513
deposit,5,607,33.8378
deposit,16,608,527.4697
deposit,2,609,38.6941
deposit,6,610,245.2729
deposit,3,611,16.8164
resolve,8,150
deposit,17,613,524.6118
dispute,4,248
deposit,1,615,208.1470
deposit,5,616,18.5608
resolve,20,20
withdrawal,15,618,237.0489
deposit,18,619,279.3124
deposit,4,620,241.5868
resolve,6,51
withdrawal,15,622,79.9163
withdrawal,12,623,15.7262
deposit,10,624,346.4375
deposit,13,625,43.7441
dispute,20,526
chargeback,4,248
dispute,20,20
deposit,2,629,231.0940
deposit,10,630,461.5372
deposit,3,631,5.9511
deposit,13,632,568.8863
deposit,18,633,553.0784
resolve,16,38
deposit,5,635,28.3796
deposit,14,636,426.6801
withdrawal,1,637,225.6317
dispute,6,359
withdrawal,13,639,79.6166
deposit,5,640,15.3623
withdrawal,17,641,209.6022
deposit,4,642,12.9422
deposit,13,643,74.3227
deposit,8,644,364.4555
dispute,20,389
withdrawal,17,646,12.5044
deposit,17,647,132.8909
deposit,2,648,395.9223
dispute,2,329
withdrawal,1,650,363.5241
deposit,7,651,250.7933
deposit,15,652,42.4873
withdrawal,6,653,42.2243
withdrawal,7,654,141.8234
withdrawal,14,655,203.1373
deposit,8,656,546.4623
deposit,5,657,39.7602
withdrawal,10,658,271.4458
deposit,9,659,354.8459
deposit,9,660,334.5879
withdrawal,8,661,102.2143
deposit,3,662,23.4938
dispute,7,376
deposit,5,664,6.4063
withdrawal,18,665,376.5856
deposit,3,666,42.3764
dispute,7,302
withdrawal,12,668,49.2998
withdrawal,6,669,132.8004
withdrawal,15,670,140.1423
deposit,14,671,269.5577
deposit,13,672,172.3932
deposit,18,673,88.2955
deposit,3,674,36.9762
deposit,20,675,200.8583
dispute,11,311
withdrawal,2,677,35.1413
deposit,17,678,151.5229
deposit,2,679,293.4662
deposit,14,680,259.6339
dispute,16,232
resolve,10,202
deposit,3,683,3.6189
deposit,4,684,11.4391
resolve,15,320
dispute,19,552
deposit,11,687,388.3133
withdrawal,13,688,14.9364
resolve,12,228
withdrawal,14,690,87.8752
withdrawal,14,691,10.7993
withdrawal,10,692,249.7977
withdrawal,13,693,58.4487
withdrawal,7,694,254.7124
deposit,3,695,16.4111
deposit,15,696,327.6217
withdrawal,12,697,190.4082
deposit,2,698,29.8064
withdrawal,19,699,334.9365
withdrawal,8,700,48.6099
deposit,10,701,217.4697
deposit,3,702,2.8698
deposit,9,703,599.4640
dispute,9,327
deposit,15,705,274.3446
resolve,20,285
withdrawal,7,707,219.2998
deposit,5,708,35.2488
chargeback,2,329
deposit,16,710,74.9982
deposit,2,711,24.5667
deposit,17,712,357.4264
resolve,9,327
deposit,2,714,5.7352
withdrawal,11,715,331.6429
resolve,6,157
deposit,10,717,472.3036
deposit,19,718,164.8740
resolve,19,552
resolve,7,396
deposit,2,721,40.2912
deposit,17,722,58.9875
deposit,2,723,33.8085
deposit,3,724,21.6164
deposit,18,725,211.9946
deposit,13,726,293.1394
deposit,10,727,495.7797
deposit,15,728,492.6820
deposit,16,729,490.5702
withdrawal,8,730,79.2391
deposit,18,731,184.4440
deposit,8,732,577.3381
dispute,16,423
deposit,17,734,392.1218
deposit,4,735,28.8278
dispute,12,228
withdrawal,7,737,168.9690
deposit,7,738,12.2022
deposit,12,739,207.3584
resolve,6,304
withdrawal,18,741,302.7576
dispute,19,552
deposit,1,743,140.7054
dispute,7,326
dispute,8,656
deposit,4,746,32.6026
withdrawal,13,747,118.9640
deposit,11,748,301.8788
withdrawal,9,749,395.8351
withdrawal,18,750,272.3351
dispute,9,246
deposit,8,752,483.5525
deposit,14,753,299.1608
withdrawal,13,754,8.4106
deposit,5,755,24.0014
dispute,14,155
dispute,16,321
withdrawal,12,758,353.5865
resolve,9,246
deposit,5,760,10.5222
deposit,5,761,47.8749
withdrawal,18,762,221.3563
dispute,20,572
deposit,5,764,23.0863
deposit,4,765,40.4065
withdrawal,18,766,122.2651
deposit,20,767,252.1293
dispute,13,726
dispute,15,518
deposit,16,770,564.5703
deposit,6,771,51.2265
resolve,18,25
deposit,11,773,560.9676
deposit,8,774,563.3406
resolve,7,302
deposit,14,776,588.2745
withdrawal,12,777,179.9953
dispute,19,250
deposit,20,779,53.5482
withdrawal,13,780,118.3129
withdrawal,1,781,135.6915
deposit,2,782,14.2850
deposit,7,783,183.9739
withdrawal,17,784,239.0976
deposit,6,785,304.1184
dispute,6,51
deposit,4,787,19.9414
deposit,3,788,9.9213
deposit,3,789,25.2324
deposit,5,790,23.8698
dispute,9,398
dispute,17,734
withdrawal,14,793,148.9218
deposit,14,794,70.0305
resolve,15,518
resolve,19,250
dispute,8,774
withdrawal,8,798,122.7098
resolve,16,319
deposit,10,800,533.8538
withdrawal,17,801,189.5976
deposit,11,802,563.6176
deposit,8,803,247.3646
deposit,4,804,45.8201
withdrawal,6,805,315.9687
withdrawal,7,806,165.6716
resolve,18,234
deposit,2,808,28.4614
deposit,16,809,477.1951
deposit,6,810,318.0199
deposit,7,811,165.9596
dispute,10,512
deposit,2,813,24.6992
withdrawal,9,814,184.6317
deposit,5,815,32.9764
deposit,5,816,29.0194
dispute,9,246
deposit,3,818,44.5396
resolve,16,423
deposit,4,820,34.3657
withdrawal,8,821,121.3075
dispute,17,483
deposit,18,823,375.4779
deposit,14,824,301.5124
resolve,7,326
deposit,18,826,37.8352
chargeback,1,218
deposit,4,828,23.1807
withdrawal,7,829,348.5880
resolve,15,15
deposit,3,831,5.2905
deposit,3,832,22.8049
dispute,20,274
withdrawal,9,834,310.8786
withdrawal,11,835,221.5453
withdrawal,20,836,179.8766
deposit,2,837,3.9680
deposit,18,838,414.6683
deposit,19,839,426.3538
dispute,19,546
deposit,5,841,10.9699
deposit,1,842,27.6365
deposit,20,843,587.7936
resolve,8,774
deposit,18,845,342.7415
withdrawal,11,846,141.8111
deposit,4,847,37.8481
deposit,5,848,38.1457
deposit,5,849,41.2712
deposit,12,850,484.5945
withdrawal,19,851,255.3672
deposit,18,852,220.9259
resolve,17,483
resolve,15,418
deposit,13,855,119.5538
deposit,3,856,34.7009
deposit,5,857,41.9028
resolve,6,51
deposit,14,859,381.0354
deposit,3,860,15.2800
resolve,16,232
resolve,8,656
deposit,3,863,35.3270
dispute,13,551
withdrawal,7,865,333.2758
deposit,4,866,26.0698
resolve,12,228
resolve,10,512
deposit,14,869,342.9790
deposit,5,870,35.9333
deposit,18,871,438.6762
withdrawal,7,872,322.6210
deposit,2,873,40.2937
deposit,10,874,498.4347
deposit,2,875,11.7393
deposit,15,876,592.9854
deposit,14,877,32.3117
dispute,6,6
deposit,15,879,52.6224
dispute,12,12
resolve,13,551
resolve,20,389
deposit,6,883,146.1517
deposit,4,884,39.2703
resolve,12,12
deposit,3,886,48.3523
withdrawal,16,887,98.2979
resolve,7,376
deposit,6,889,290.1700
deposit,2,890,34.4747
deposit,10,891,375.9822
dispute,12,228
deposit,3,893,13.6903
dispute,13,349
dispute,12,247
deposit,10,896,396.8211
deposit,2,897,12.5395
withdrawal,18,898,315.7660
deposit,1,899,44.5644
deposit,3,900,46.9845
deposit,20,901,171.7473
dispute,15,139
dispute,10,261
deposit,5,904,1.9698
dispute,17,647
deposit,19,906,460.4501
withdrawal,7,907,98.2393
deposit,2,908,29.6040
resolve,6,6
resolve,9,398
withdrawal,17,911,276.6875
deposit,13,912,276.4608
dispute,16,352
deposit,3,914,38.5420
resolve,15,139
deposit,16,916,34.8792
deposit,15,917,142.6787
dispute,12,739
deposit,6,919,267.5646
deposit,18,920,10.5455
deposit,2,921,31.0645
deposit,7,922,472.7630
deposit,4,923,49.1788
deposit,3,924,9.4142
dispute,13,585
deposit,1,926,46.5043
deposit,18,927,518.5145
deposit,11,928,323.3841
deposit,17,929,599.7935
deposit,14,930,359.5655
dispute,11,748
deposit,1,932,17.9084
resolve,17,734
resolve,11,338
deposit,10,935,511.0471
deposit,1,936,34.6677
deposit,17,937,84.8369
resolve,20,526
deposit,12,939,34.7523
withdrawal,18,940,7.9944
deposit,2,941,27.6672
deposit,14,942,565.8591
deposit,12,943,440.9596
withdrawal,16,944,349.7939
deposit,1,945,45.8197
resolve,10,261
deposit,8,947,480.5489
withdrawal,11,948,64.9295
deposit,1,949,40.2568
resolve,17,647
deposit,7,951,483.4290
withdrawal,18,952,72.4456
deposit,17,953,572.8144
dispute,19,718
dispute,11,504
withdrawal,15,956,360.8587
dispute,11,11
deposit,16,958,279.6745
deposit,4,959,3.1629
deposit,18,960,35.6988
resolve,16,321
deposit,13,962,34.4364
deposit,19,963,521.6021
deposit,8,964,528.1214
deposit,12,965,508.3896
withdrawal,13,966,215.8163
withdrawal,10,967,102.6936
withdrawal,17,968,356.6726
deposit,1,969,49.4292
withdrawal,15,970,330.8621
resolve,13,585
deposit,6,972,465.4858
deposit,13,973,357.6113
deposit,2,974,37.4580
withdrawal,20,975,130.0343
deposit,14,976,444.0565
withdrawal,19,977,113.1037
deposit,12,978,21.1468
deposit,8,979,469.1345
withdrawal,19,980,166.4432
withdrawal,16,981,153.8457
withdrawal,9,982,55.0466
withdrawal,16,983,98.3159
deposit,1,984,31.0519
deposit,14,985,115.3640
deposit,17,986,551.2032
dispute,7,811
dispute,18,266
withdrawal,10,989,232.3469
deposit,1,990,45.4949
dispute,11,928
deposit,20,992,501.6349
withdrawal,15,993,85.8315
withdrawal,8,994,172.5696
deposit,3,995,43.7080
deposit,17,996,495.7933
deposit,4,997,31.8260
deposit,14,998,363.2139
resolve,13,726
resolve,9,246
deposit,4,1001,17.6053
deposit,18,1002,120.3355
deposit,9,1003,473.3936
resolve,14,155
withdrawal,20,1005,228.0425
withdrawal,18,1006,246.7578
deposit,4,1007,10.7602
dispute,17,929
withdrawal,17,1009,98.6248
dispute,10,891
deposit,1,1011,23.6120
deposit,15,1012,597.8796
resolve,12,228
dispute,13,358
dispute,15,1012
dispute,8,371
resolve,16,352
deposit,7,1018,80.4179
deposit,4,1019,6.2956
deposit,1,1020,17.7558
dispute,13,182
resolve,11,11
deposit,3,1023,31.1283
deposit,5,1024,27.4462
withdrawal,10,1025,256.0343
deposit,5,1026,26.4600
deposit,19,1027,299.2057
resolve,13,349
deposit,1,1029,47.0517
withdrawal,6,1030,281.4296
deposit,10,1031,177.1986
withdrawal,17,1032,370.3912
deposit,4,1033,14.7501
deposit,10,1034,272.4947
deposit,1,1035,27.1711
deposit,1,1036,19.8304
resolve,6,117
deposit,19,1038,579.6409
resolve,10,891
deposit,7,1040,190.6342
deposit,11,1041,171.3459
deposit,3,1042,31.4926
dispute,17,493
deposit,6,1044,415.6954
withdrawal,19,1045,173.1504
deposit,4,1046,28.5155
dispute,7,302
deposit,19,1048,352.5340
withdrawal,13,1049,229.8120
withdrawal,11,1050,220.9849
resolve,7,302
withdrawal,19,1052,144.8982
deposit,3,1053,3.2220
dispute,14,379
deposit,19,1055,195.0618
deposit,1,1056,14.4373
dispute,14,877
deposit,15,1058,220.2509
withdrawal,11,1059,323.4289
dispute,15,518
withdrawal,11,1061,355.0044
deposit,15,1062,65.1397
deposit,2,1063,2.6651
withdrawal,15,1064,60.9380
withdrawal,19,1065,276.4268
deposit,3,1066,12.2262
deposit,8,1067,28.6190
resolve,17,929
withdrawal,15,1069,179.5783
deposit,7,1070,500.0150
resolve,14,877
withdrawal,12,1072,333.9454
dispute,8,803
deposit,13,1074,318.2827
deposit,4,1075,8.8658
withdrawal,15,1076,389.8225
deposit,2,1077,13.7628
resolve,7,811
deposit,16,1079,511.0228
withdrawal,18,1080,288.7267
withdrawal,7,1081,18.9663
deposit,4,1082,10.8112
withdrawal,8,1083,155.7794
withdrawal,14,1084,327.2748
withdrawal,9,1085,13.4440
deposit,2,1086,22.8810
deposit,16,1087,416.7485
withdrawal,17,1088,230.3419
dispute,11,111
deposit,2,1090,11.5525
deposit,13,1091,136.2975
deposit,19,1092,507.8153
deposit,2,1093,42.4063
deposit,8,1094,78.4568
withdrawal,15,1095,292.7741
dispute,19,335
deposit,9,1097,259.4788
resolve,17,493
deposit,4,1099,4.1321
deposit,8,1100,405.4140
withdrawal,10,1101,205.9599
deposit,8,1102,191.1343
dispute,16,710
deposit,3,1104,6.2858
deposit,2,1105,14.4883
deposit,7,1106,206.5460
deposit,3,1107,26.8563
dispute,19,19
withdrawal,11,1109,166.8774
deposit,12,1110,496.6751
resolve,16,710
deposit,12,1112,468.5827
deposit,9,1113,101.5121
deposit,19,1114,324.3375
withdrawal,9,1115,202.3125
deposit,3,1116,6.1966
deposit,20,1117,424.7275
resolve,15,518
resolve,18,266
deposit,18,1120,98.0191
resolve,8,371
withdrawal,9,1122,286.2604
resolve,19,552
dispute,12,65
withdrawal,17,1125,289.3779
deposit,14,1126,300.6802
dispute,7,76
deposit,5,1128,25.1849
resolve,20,274
withdrawal,7,1130,111.3398
deposit,17,1131,137.1028
dispute,20,190
dispute,19,552
withdrawal,12,1134,62.9045
deposit,8,1135,582.8934
deposit,12,1136,194.6635
deposit,9,1137,515.3286
withdrawal,20,1138,398.7555
withdrawal,9,1139,343.2631
deposit,20,1140,245.1802
